Success,Time
false,49.5
false,32.0
false,26.0
false,39.5
false,12.0
false,29.0
false,26.0
false,17.5
false,7.5
false,149.0
false,31.5
false,20.5
false,93.5
false,25.0
false,42.0
false,78.0
false,11.0
false,64.0
false,29.5
false,64.0
false,78.0
false,94.5
false,60.0
false,72.0
false,16.0
false,122.5
false,17.0
false,41.5
false,40.0
false,10.0
false,49.5
false,71.5
false,7.0
false,42.0
false,71.0
false,1.0
false,70.5
false,23.5
false,17.5
false,69.0
false,8.0
false,58.0
false,20.5
false,6.5
false,48.0
false,6.5
false,18.0
false,37.0
false,15.0
false,15.0
false,39.0
false,41.0
false,18.0
false,21.0
false,69.0
false,51.5
false,22.5
false,42.0
false,39.0
false,58.0
false,16.0
false,21.5
false,16.0
false,66.5
false,69.0
false,24.0
false,39.0
false,59.5
false,3.0
false,43.0
false,80.0
false,8.0
false,93.0
false,27.5
false,149.0
false,116.0
false,26.0
false,49.5
false,47.5
false,40.0
false,29.0
false,43.0
false,63.5
false,14.5
false,36.0
false,13.5
false,159.0
false,20.5
false,48.5
false,29.5
false,10.0
false,18.5
false,8.5
false,64.5
false,24.0
false,16.0
false,14.0
false,120.0
false,7.5
false,59.5
false,57.0
false,47.0
false,17.5
false,19.5
false,54.0
false,3.5
false,44.0
false,21.0
false,16.0
false,82.0
false,68.0
false,33.5
false,147.0
false,69.5
false,21.0
false,36.5
false,15.0
false,19.5
false,102.5
false,107.5
false,92.0
false,147.0
false,71.0
false,4.0
false,7.5
false,58.0
false,8.0
false,11.5
false,8.5
false,64.5
false,62.0
false,14.0
false,76.0
false,31.5
false,6.5
false,51.0
false,18.0
false,17.5
false,20.5
false,10.0
false,76.5
false,11.5
false,10.5
false,16.0
false,16.0
false,55.0
false,15.5
false,59.5
false,220.0
false,35.0
false,66.5
false,120.0
false,49.0
false,7.0
false,79.0
false,64.5
false,77.0
false,7.0
false,50.0
false,42.0
false,51.0
false,66.0
false,118.5
false,9.0
false,77.0
false,46.0
false,144.0
false,71.0
false,114.5
false,102.5
false,41.5
false,64.0
false,51.0
false,39.5
false,34.5
false,98.0
false,108.0
false,50.0
false,27.0
false,59.5
false,52.0
false,13.5
false,47.0
false,38.0
false,9.5
false,9.0
false,50.5
false,15.0
false,17.5
false,18.0
false,10.0
false,11.0
false,53.5
false,83.5
false,93.0
false,97.5
false,37.5
false,2.0
false,84.5
false,0.5
false,65.5
false,179.0
false,91.5
false,0.5
false,70.5
false,90.0
false,0.5
false,10.5
false,22.0
false,7.0
false,40.0
false,121.0
false,19.5
false,44.5
false,42.5
false,50.0
false,26.0
false,15.5
false,31.5
false,175.0
false,6.5
false,11.0
false,47.0
false,39.0
false,26.0
false,55.0
false,10.5
false,84.0
false,14.5
false,25.0
false,108.0
false,96.5
false,55.0
false,45.0
false,63.0
false,27.5
false,50.5
false,10.5
false,93.0
false,28.0
false,37.0
false,5.0
false,53.0
false,39.5
false,17.5
false,45.0
false,49.5
false,66.0
false,16.0
false,28.5
false,24.0
false,14.5
false,2.5
false,30.0
false,85.5
false,11.5
false,67.0
false,96.0
false,47.5
false,125.0
false,29.0
false,44.0
false,64.0
false,26.0
false,76.5
false,13.5
false,69.0
false,47.5
false,24.0
false,11.5
false,30.5
false,114.0
false,18.0
false,81.0
false,157.5
false,32.5
false,89.0
false,66.5
false,81.0
false,43.0
false,129.0
false,76.5
false,75.0
false,133.0
false,17.5
false,81.5
false,77.5
false,64.0
false,41.0
false,27.0
false,42.5
false,111.5
false,80.5
false,43.0
false,29.0
false,32.0
false,41.0
false,56.5
false,56.0
false,58.0
false,73.0
false,50.5
false,24.5
false,81.0
false,119.0
false,27.0
false,55.5
false,63.0
false,21.0
false,28.5
false,137.0
false,69.0
false,64.0
false,7.0
false,87.0
false,59.5
false,30.5
false,52.0
false,73.0
false,183.5
false,10.5
false,46.0
false,30.5
false,31.0
false,142.0
false,25.0
false,23.5
false,37.5
false,81.5
false,38.5
false,37.0
false,81.0
false,93.0
false,13.5
false,181.5
false,33.5
false,83.5
false,4.5
false,16.5
false,84.5
false,33.0
false,131.0
false,32.0
false,6.5
false,20.0
false,81.0
false,19.5
false,68.0
false,7.0
false,5.5
false,25.5
false,9.0
false,31.5
false,46.5
false,38.0
false,70.0
false,46.5
false,246.0
false,12.0
false,22.0
false,24.0
false,151.0
false,58.0
false,6.0
false,11.0
false,59.0
false,31.5
false,24.5
false,54.5
false,85.0
false,24.5
false,63.0
false,12.5
false,118.5
false,84.0
false,38.0
false,42.5
false,16.5
false,20.0
false,16.0
false,111.5
false,52.0
false,27.5
false,59.0
false,103.5
false,23.0
false,29.0
false,42.5
false,50.0
false,213.5
false,3.5
false,135.5
false,55.0
false,15.5
false,51.0
false,100.5
false,52.5
false,33.5
false,11.5
false,12.0
false,6.0
false,47.5
false,13.5
false,99.0
false,44.0
false,76.0
false,19.5
false,33.0
false,18.0
false,9.0
false,26.5
false,36.5
false,54.0
false,48.0
false,16.0
false,78.0
false,173.0
false,21.0
false,35.5
false,5.5
false,14.5
false,76.5
false,127.5
false,24.0
false,11.5
false,56.0
false,80.0
false,43.0
false,26.0
false,57.0
false,40.5
false,37.5
false,58.0
false,67.5
false,38.5
false,32.0
false,40.5
false,53.0
false,42.5
false,75.5
false,16.0
false,4.0
false,59.0
false,36.0
false,49.0
false,19.5
false,21.0
false,52.5
false,31.0
false,138.5
false,53.0
false,49.0
false,48.0
false,14.5
false,75.0
false,81.5
false,70.0
false,86.5
false,42.5
false,81.0
false,10.0
false,21.0
false,12.0
false,50.0
false,144.5
false,8.0
false,39.5
false,8.5
false,26.0
false,18.5
false,67.5
false,10.5
false,121.5
false,42.0
false,12.0
false,31.0
false,15.0
false,70.0
false,34.0
false,48.5
false,13.5
false,44.0
false,45.0
false,44.0
false,69.0
false,8.0
false,67.0
false,74.0
false,4.5
false,63.5
false,6.0
false,8.0
false,98.5
false,9.0
false,93.0
false,46.5
false,7.0
false,34.5
false,11.5
false,28.5
false,47.5
false,28.0
false,17.5
false,50.5
false,94.0
false,12.0
false,28.0
false,48.5
false,74.5
false,92.5
false,83.5
false,13.0
false,34.0
false,33.0
false,116.0
false,51.0
false,57.5
false,9.5
false,72.0
false,66.0
false,7.5
false,61.0
false,68.5
false,24.5
false,127.0
false,54.0
false,49.5
false,90.0
false,102.5
false,18.5
false,77.0
false,58.0
false,1.0
false,33.5
false,24.0
false,58.0
false,22.5
false,69.5
false,23.0
false,89.0
false,22.0
false,29.0
false,30.5
false,86.0
false,82.5
false,11.5
false,46.0
false,68.5
false,25.0
false,5.5
false,54.5
false,6.5
false,2.0
false,66.5
false,54.0
false,8.5
false,10.0
false,26.0
false,15.5
false,19.0
false,6.0
false,23.5
false,91.5
false,72.0
false,10.0
false,22.0
false,7.0
false,37.5
false,25.5
false,29.5
false,65.0
false,24.0
false,66.0
false,75.0
false,49.0
false,60.5
false,5.5
false,40.5
false,24.5
false,39.0
false,16.5
false,14.0
false,68.5
false,80.0
false,50.0
false,3.5
false,11.5
false,8.0
false,44.0
false,59.5
false,53.0
false,40.0
false,109.0
false,31.0
false,121.0
false,34.0
false,10.0
false,16.0
false,38.0
false,48.0
false,37.5
false,47.5
false,54.0
false,68.0
false,54.0
false,14.0
false,103.5
false,85.0
false,108.5
false,86.0
false,81.0
false,18.0
false,83.0
false,38.0
false,45.0
false,33.5
false,42.0
false,120.5
false,30.5
false,17.5
false,8.0
false,39.0
false,74.0
false,14.0
false,30.0
false,63.5
false,17.0
false,21.0
false,67.0
false,73.0
false,67.0
false,114.0
false,14.0
false,101.5
false,79.0
false,114.0
false,55.0
false,65.0
false,108.0
false,54.0
false,28.0
false,84.0
false,17.0
false,30.5
false,63.0
false,95.5
false,21.5
false,38.0
false,129.0
false,19.5
false,52.5
false,85.5
false,79.0
false,25.0
false,22.0
false,56.5
false,16.0
false,69.0
false,8.0
false,91.0
false,20.0
false,15.5
false,15.5
false,17.0
false,80.0
false,47.0
false,154.5
false,132.0
false,26.5
false,89.0
false,22.0
false,61.5
false,21.5
false,29.5
false,19.0
false,60.0
false,56.0
false,246.0
false,14.5
false,52.0
false,45.5
false,27.5
false,30.0
false,155.0
false,78.5
false,64.0
false,108.0
false,53.0
false,86.0
false,119.0
false,22.0
false,102.0
false,95.0
false,12.5
false,40.0
false,8.5
false,73.5
false,20.0
false,35.0
false,13.5
false,85.0
false,25.0
false,57.0
false,107.0
false,47.5
false,111.5
false,71.5
false,53.0
false,32.0
false,21.5
false,58.0
false,19.0
false,81.5
false,130.0
false,79.5
false,46.5
false,57.0
false,39.0
false,38.5
false,11.0
false,50.0
false,54.0
false,40.0
false,80.0
false,6.5
false,104.5
false,23.0
false,171.0
false,84.5
false,2.5
false,25.5
false,83.0
false,28.5
false,144.0
false,10.5
false,52.0
false,87.0
false,43.5
false,120.0
false,21.0
false,39.5
false,48.5
false,172.5
false,24.5
false,36.5
false,154.5
false,56.0
false,25.0
false,91.5
false,104.5
false,103.0
false,35.5
false,58.0
false,19.0
false,24.0
false,60.5
false,18.0
false,41.0
false,184.0
false,46.0
false,100.5
false,129.5
false,36.0
false,93.5
false,53.5
false,109.5
false,138.0
false,16.0
false,72.5
false,98.0
false,39.0
false,190.0
false,49.0
false,76.0
false,48.5
false,29.0
false,16.0
false,5.5
false,4.0
false,23.5
false,33.0
false,18.5
false,128.0
false,9.5
false,23.0
false,65.0
false,143.0
false,25.0
false,25.0
false,45.0
false,99.5
false,23.0
false,54.0
false,96.5
false,38.5
false,59.5
false,59.0
false,4.5
false,113.5
false,41.0
false,64.5
false,22.0
false,47.0
false,89.0
false,43.0
false,103.0
false,98.0
false,23.0
false,61.0
false,10.0
false,48.0
false,57.0
false,37.0
false,62.0
false,30.0
false,13.0
false,27.0
false,39.0
false,38.0
false,57.0
false,16.0
false,38.0
false,42.0
false,46.0
false,31.0
false,21.0
false,70.0
false,13.0
false,92.0
false,1.0
false,68.0
false,14.0
false,1.0
false,21.0
false,44.0
false,8.0
false,43.0
false,21.0
false,26.0
false,11.0
false,60.0
false,7.0
false,52.0
false,20.0
false,10.0
false,30.0
false,13.0
false,61.0
false,52.0
false,74.0
false,31.0
false,13.0
false,62.0
false,4.0
false,83.0
false,14.0
false,24.0
false,54.0
false,41.0
false,1.0
false,11.0
false,59.0
false,67.0
false,29.0
false,3.0
false,3.0
false,6.0
false,70.0
false,27.0
false,46.0
false,107.0
false,23.0
false,36.0
false,11.0
false,43.0
false,34.0
false,18.0
false,30.0
false,31.0
false,31.0
false,20.0
false,11.0
false,31.0
false,23.0
false,51.0
false,44.0
false,17.0
false,8.0
false,15.0
false,12.0
false,12.0
false,97.0
false,8.0
false,44.0
false,17.0
false,6.0
false,23.0
false,70.0
false,0.0
false,18.0
false,146.0
false,15.0
false,87.0
false,18.0
false,1.0
false,1.0
false,31.0
false,26.0
false,53.0
false,5.0
false,26.0
false,39.0
false,23.0
false,4.0
false,39.0
false,40.0
false,2.0
false,32.0
false,37.0
false,61.0
false,87.0
false,18.0
false,58.0
false,76.0
false,35.0
false,66.0
false,23.0
false,33.0
false,36.0
false,58.0
false,35.0
false,18.0
false,13.0
false,39.0
false,11.0
false,49.0
false,69.0
false,12.0
false,17.0
false,15.0
false,39.0
false,86.0
false,92.0
false,23.0
false,42.0
false,27.0
false,3.0
false,15.0
false,51.0
false,101.0
false,1.0
false,52.0
false,30.0
false,21.0
false,19.0
false,27.0
false,45.0
false,22.0
false,10.0
false,41.0
false,9.0
false,0.0
false,36.0
false,39.0
false,-1056.0
false,33.0
false,39.0
false,12.0
false,32.0
false,78.0
false,48.0
false,23.0
false,6.0
false,48.0
false,66.0
false,4.0
false,21.0
false,7.0
false,76.0
false,20.0
false,16.0
false,11.0
false,7.0
false,18.0
false,25.0
false,39.0
false,7.0
false,4.0
false,102.0
false,105.0
false,45.0
false,0.0
false,24.0
false,64.0
false,46.0
false,51.0
false,51.0
false,58.0
false,9.0
false,4.0
false,86.0
false,76.0
false,15.0
false,43.0
false,60.0
false,56.0
false,39.0
false,54.0
false,29.0
false,3.0
false,6.0
false,24.0
false,49.0
false,17.0
false,30.0
false,66.0
false,15.0
false,30.0
false,47.0
false,87.0
false,18.0
false,38.0
false,6.0
false,10.0
false,18.0
false,4.0
false,46.0
false,10.0
false,0.0
false,26.0
false,49.0
false,10.0
false,47.0
false,39.0
false,2.0
false,41.0
false,37.0
false,15.0
false,80.0
false,41.0
false,1.0
false,5.0
false,39.0
false,17.0
false,4.0
false,6.0
false,143.0
false,20.0
false,7.0
false,56.0
false,39.0
false,51.0
false,18.0
false,45.0
false,26.0
false,15.0
false,23.0
false,7.0
false,41.0
false,31.0
false,39.0
false,5.0
false,27.0
false,64.0
false,49.0
false,16.0
false,53.0
false,19.0
false,36.0
false,3.0
false,32.0
false,0.0
false,25.0
false,45.0
false,17.0
false,32.0
false,40.0
false,23.0
false,56.0
true,54.0
true,19.0
true,63.0
true,19.5
true,28.5
true,17.0
true,50.0
true,22.0
true,88.5
true,51.0
true,10.0
true,41.5
true,80.0
true,157.5
true,12.0
true,27.0
true,19.0
true,81.0
true,14.5
true,25.0
true,116.5
true,20.0
true,10.0
true,32.0
true,66.0
true,34.0
true,82.0
true,26.5
true,9.0
true,6.0
true,34.5
true,94.0
true,100.0
true,75.5
true,45.0
true,9.5
true,8.5
true,7.0
true,35.0
true,46.0
true,14.5
true,53.0
true,11.0
true,103.5
true,13.5
true,40.0
true,5.5
true,83.5
true,44.0
true,80.0
true,8.0
true,66.0
true,71.0
true,5.0
true,42.5
true,15.5
true,70.0
true,71.0
true,74.0
true,44.0
true,8.0
true,52.0
true,4.0
true,53.0
true,33.5
true,99.5
true,61.5
true,43.5
true,27.0
true,16.5
true,22.0
true,92.0
true,69.0
true,49.5
true,79.5
true,67.0
true,69.0
true,61.0
true,58.0
true,23.0
true,44.0
true,9.0
true,59.5
true,34.0
true,47.5
true,44.0
true,30.5
true,10.5
true,52.0
true,17.0
true,28.0
true,52.5
true,39.0
true,19.5
true,18.0
true,38.5
true,17.0
true,76.5
true,26.5
true,20.0
true,65.0
true,41.5
true,64.0
true,81.0
true,34.0
true,35.5
true,13.0
true,12.0
true,36.0
true,40.5
true,55.0
true,78.0
true,21.0
true,16.0
true,66.5
true,82.0
true,38.5
true,23.0
true,34.0
true,85.0
true,57.0
true,56.5
true,37.5
true,36.0
true,30.0
true,40.0
true,37.5
true,11.5
true,75.5
true,71.0
true,14.0
true,33.5
true,87.0
true,7.0
true,43.5
true,30.5
true,35.0
true,69.0
true,93.5
true,13.0
true,75.5
true,38.0
true,74.5
true,19.0
true,63.0
true,68.0
true,90.0
true,48.0
true,38.0
true,77.5
true,65.5
true,25.5
true,29.5
true,31.0
true,55.5
true,55.5
true,42.0
true,24.0
true,52.0
true,7.0
true,77.0
true,119.5
true,96.0
true,29.0
true,43.0
true,11.5
true,67.5
true,76.5
true,74.5
true,33.5
true,39.5
true,21.5
true,19.5
true,90.5
true,37.0
true,85.0
true,131.0
true,9.0
true,31.0
true,21.5
true,35.0
true,13.5
true,41.5
true,37.0
true,8.0
true,63.0
true,47.5
true,67.5
true,144.0
true,17.5
true,6.5
true,70.0
true,28.0
true,96.5
true,29.0
true,102.5
true,38.0
true,54.5
true,64.0
true,31.5
true,34.0
true,66.5
true,20.0
true,165.0
true,7.0
true,13.0
true,40.0
true,24.0
true,46.0
true,75.0
true,50.0
true,20.0
true,51.0
true,12.0
true,45.0
true,33.5
